Date,Open,High,Low,Close
30-October-2017,33260.10,33340.17,33206.93,33266.16,
31-October-2017,33254.93,33294.30,33164.28,33213.13,
1-November-2017,33344.23,33651.52,33340.62,33600.27,
2-November-2017,33615.84,33657.57,33527.00,33573.22,
3-November-2017,33667.34,33733.71,33531.94,33685.56,
6-November-2017,33710.15,33848.42,33582.38,33731.19,
7-November-2017,33781.01,33865.95,33341.82,33370.76,
8-November-2017,33417.35,33484.70,33157.68,33218.81,
9-November-2017,33376.62,33463.80,33111.54,33250.93,
10-November-2017,33235.75,33380.42,33108.09,33314.56,
13-November-2017,33397.41,33417.30,32999.98,33033.56,
14-November-2017,32990.03,33126.55,32907.11,32941.87,
15-November-2017,32944.94,32944.94,32683.59,32760.44,
16-November-2017,32829.82,33165.15,32829.82,33106.82,
17-November-2017,33388.47,33520.82,33278.91,33342.80,
20-November-2017,33365.84,33449.53,33288.21,33359.90,
21-November-2017,33438.28,33625.05,33437.61,33478.35,
22-November-2017,33569.07,33654.53,33465.23,33561.55,
23-November-2017,33575.91,33670.19,33468.30,33588.08,
24-November-2017,33670.00,33738.53,33639.98,33679.24,
27-November-2017,33640.51,33745.17,33540.46,33724.44,
28-November-2017,33726.65,33770.15,33576.65,33618.59,
29-November-2017,33664.27,33728.81,33553.12,33602.76,
30-November-2017,33542.50,33576.20,33108.72,33149.35,
1-December-2017,33247.66,33300.81,32797.78,32832.94,
4-December-2017,32968.02,33008.47,32785.76,32869.72,
5-December-2017,32814.03,32893.05,32682.52,32802.44,
6-December-2017,32798.50,32804.75,32565.16,32597.18,
7-December-2017,32615.05,32992.45,32598.12,32949.21,
8-December-2017,33034.20,33285.68,33034.20,33250.30,
11-December-2017,33317.72,33535.97,33313.17,33455.79,
12-December-2017,33426.59,33458.41,33179.75,33227.99,
13-December-2017,33229.73,33404.26,32988.82,33053.04,
14-December-2017,33114.69,33321.52,32886.93,33246.70,
15-December-2017,33456.02,33621.96,33405.82,33462.97,
18-December-2017,33364.52,33801.90,32595.63,33601.68,
19-December-2017,33732.08,33862.07,33666.62,33836.74,
20-December-2017,33928.59,33956.31,33754.94,33777.38,
21-December-2017,33826.25,33860.99,33707.80,33756.28,
22-December-2017,33768.47,33964.28,33767.73,33940.30,
26-December-2017,33980.76,34061.88,33889.75,34010.61,
27-December-2017,34087.32,34137.97,33839.51,33911.81,
28-December-2017,33928.86,34023.65,33752.03,33848.03,
29-December-2017,33889.39,34086.05,33889.39,34056.83,
1-January-2018,34059.99,34101.13,33766.15,33812.75,
2-January-2018,33913.55,33964.14,33703.37,33812.26,
3-January-2018,33929.61,33998.37,33765.43,33793.38,
4-January-2018,33912.49,33995.40,33802.13,33969.64,
5-January-2018,34021.27,34188.85,34020.84,34153.85,
8-January-2018,34216.33,34385.67,34216.33,34352.79,
9-January-2018,34431.61,34488.03,34343.41,34443.19,
10-January-2018,34538.78,34565.63,34311.63,34433.07,
11-January-2018,34471.48,34558.88,34400.61,34503.49,
12-January-2018,34578.99,34638.42,34342.16,34592.39,
15-January-2018,34687.21,34963.69,34687.21,34843.51,
16-January-2018,34877.71,34936.03,34735.55,34771.05,
17-January-2018,34753.80,35118.61,34700.82,35081.82,
18-January-2018,35366.45,35507.36,35166.44,35260.29,
19-January-2018,35339.11,35542.17,35221.16,35511.58,
22-January-2018,35613.97,35827.70,35544.68,35798.01,
23-January-2018,35868.19,36170.83,35863.98,36139.98,
24-January-2018,36161.62,36268.19,36036.51,36161.64,
25-January-2018,36208.39,36247.02,35823.35,36050.44,
29-January-2018,36106.36,36443.98,36093.36,36283.25,
30-January-2018,36277.12,36291.82,35993.41,36033.73,
31-January-2018,35951.64,36050.69,35818.41,35965.02,
1-February-2018,36048.99,36256.83,35501.74,35906.66,
2-February-2018,35707.60,35738.13,35006.41,35066.75,
5-February-2018,34718.85,34874.17,34520.80,34757.16,
6-February-2018,33753.78,34521.01,33482.81,34195.94,
7-February-2018,34563.30,34666.33,34008.42,34082.71,
8-February-2018,34208.11,34634.35,34108.76,34413.16,
9-February-2018,34002.45,34070.73,33849.65,34005.76,
12-February-2018,34203.34,34351.34,34115.12,34300.47,
14-February-2018,34436.98,34473.43,34028.68,34155.95,
15-February-2018,34207.57,34535.08,34186.01,34297.47,
16-February-2018,34411.24,34508.24,33957.33,34010.76,
19-February-2018,34053.95,34122.96,33554.37,33774.66,
20-February-2018,33913.94,33960.95,33657.89,33703.59,
21-February-2018,33813.83,33911.36,33702.50,33844.86,
22-February-2018,33817.09,33868.74,33691.42,33819.50,
23-February-2018,33832.00,34167.60,33832.00,34142.15,
26-February-2018,34225.72,34483.39,34225.72,34445.75,
27-February-2018,34558.56,34610.79,34314.87,34346.39,
28-February-2018,34155.63,34302.74,34076.45,34184.04,
1-March-2018,34141.22,34278.63,34015.79,34046.94,
5-March-2018,34034.28,34034.28,33653.41,33746.78,
6-March-2018,34047.43,34060.13,33209.76,33317.20,
7-March-2018,33279.39,33331.21,32991.14,33033.09,
8-March-2018,33244.52,33439.97,33037.48,33351.57,
9-March-2018,33465.05,33519.49,33256.42,33307.14,
12-March-2018,33468.16,33962.48,33468.16,33917.94,
13-March-2018,33818.22,34077.32,33722.96,33856.78,
14-March-2018,33733.55,33875.15,33580.69,33835.74,
15-March-2018,33843.47,33866.28,33637.28,33685.54,
16-March-2018,33685.86,33691.32,33119.92,33176.00,
19-March-2018,33268.97,33275.79,32856.54,32923.12,
20-March-2018,32876.48,33102.74,32810.86,32996.76,
21-March-2018,33090.82,33354.93,33070.53,33136.18,
22-March-2018,33206.99,33281.77,32963.31,33006.27,
23-March-2018,32650.89,32720.03,32483.84,32596.54,
26-March-2018,32536.44,33115.41,32515.17,33066.41,
27-March-2018,33172.98,33371.04,33077.13,33174.39,
28-March-2018,33098.09,33104.11,32917.66,32968.68,
2-April-2018,33030.87,33289.34,32997.88,33255.36,
3-April-2018,33197.42,33402.94,33153.83,33370.63,
4-April-2018,33437.52,33505.53,32972.56,33019.07,
5-April-2018,33289.96,33637.46,33267.86,33596.80,
6-April-2018,33608.59,33697.51,33501.37,33626.97,
9-April-2018,33653.61,33846.50,33578.91,33788.54,
10-April-2018,33880.11,33949.98,33813.30,33880.25,
11-April-2018,33970.35,33981.54,33750.74,33940.44,
12-April-2018,33987.55,34177.44,33924.88,34101.13,
13-April-2018,34167.53,34313.14,34103.53,34192.65,
16-April-2018,33944.73,34341.46,33899.34,34305.43,
17-April-2018,34381.80,34434.14,34229.83,34395.06,
18-April-2018,34443.42,34591.81,34270.04,34331.68,
19-April-2018,34403.67,34478.82,34358.91,34427.29,
20-April-2018,34434.14,34487.33,34311.29,34415.58,
23-April-2018,34493.69,34663.95,34259.27,34450.77,
24-April-2018,34491.38,34706.71,34465.49,34616.64,
25-April-2018,34593.17,34631.27,34400.56,34501.27,
26-April-2018,34532.95,34747.97,34505.62,34713.60,
27-April-2018,34747.04,35065.37,34744.73,34969.70,
30-April-2018,35021.20,35213.30,35004.00,35160.36,
2-May-2018,35328.91,35357.15,35072.42,35176.42,
3-May-2018,35257.31,35257.31,35020.08,35103.14,
4-May-2018,35144.96,35206.55,34847.61,34915.38,
7-May-2018,34983.59,35259.81,34977.74,35208.14,
8-May-2018,35349.85,35388.87,35136.01,35216.32,
9-May-2018,35198.08,35404.83,35134.20,35319.35,
10-May-2018,35353.96,35500.76,35203.85,35246.27,
11-May-2018,35287.99,35596.15,35262.06,35535.79,
14-May-2018,35555.83,35642.72,35456.56,35556.71,
15-May-2018,35537.85,35993.53,35497.92,35543.94,
16-May-2018,35452.35,35543.89,35241.63,35387.88,
17-May-2018,35483.62,35510.01,35087.82,35149.12,
18-May-2018,35143.59,35163.11,34821.62,34848.30,
21-May-2018,34873.16,34973.95,34593.82,34616.13,
22-May-2018,34601.49,34754.60,34550.22,34651.24,
23-May-2018,34656.63,34668.47,34302.89,34344.91,
24-May-2018,34404.14,34741.46,34367.83,34663.11,
25-May-2018,34753.47,35017.93,34700.52,34924.87,
28-May-2018,35074.32,35240.96,35006.50,35165.48,
29-May-2018,35213.14,35234.14,34922.18,34949.24,
30-May-2018,34876.13,35017.45,34735.11,34906.11,
31-May-2018,35083.81,35416.03,34926.08,35322.38,
1-June-2018,35373.98,35438.22,35177.35,35227.26,
4-June-2018,35503.24,35555.59,34982.25,35011.89,
5-June-2018,35029.45,35073.12,34784.68,34903.21,
6-June-2018,34932.49,35230.54,34896.37,35178.88,
7-June-2018,35278.38,35628.49,35278.38,35463.08,
8-June-2018,35406.47,35484.94,35260.00,35443.67,
11-June-2018,35472.59,35704.84,35444.49,35483.47,
12-June-2018,35525.30,35743.08,35479.07,35692.52,
13-June-2018,35835.44,35877.41,35715.96,35739.16,
14-June-2018,35743.10,35749.88,35488.55,35599.82,
15-June-2018,35656.26,35675.20,35419.68,35622.14,
18-June-2018,35698.43,35721.55,35518.73,35548.26,
19-June-2018,35552.47,35552.47,35249.06,35286.74,
20-June-2018,35329.61,35571.37,35329.51,35547.33,
21-June-2018,35644.05,35678.69,35396.97,35432.39,
22-June-2018,35428.42,35741.26,35344.49,35689.60,
25-June-2018,35783.75,35806.97,35430.11,35470.35,
26-June-2018,35355.72,35616.64,35338.09,35490.04,
27-June-2018,35543.89,35618.85,35154.21,35217.11,
28-June-2018,35207.19,35282.40,34937.15,35037.64,
29-June-2018,35128.16,35459.05,35099.65,35423.48,
2-July-2018,35545.22,35578.24,35106.57,35264.41,
3-July-2018,35344.21,35445.21,35195.63,35378.60,
4-July-2018,35385.52,35667.31,35309.67,35645.40,
5-July-2018,35703.17,35748.26,35517.79,35574.55,
6-July-2018,35543.66,35799.71,35532.21,35657.86,
9-July-2018,35835.10,35977.37,35779.72,35934.72,
10-July-2018,36068.27,36274.33,36019.63,36239.62,
11-July-2018,36299.26,36362.30,36169.70,36265.93,
12-July-2018,36424.23,36699.53,36422.08,36548.41,
13-July-2018,36635.14,36740.07,36501.61,36541.63,
16-July-2018,36658.71,36658.71,36298.94,36323.77,
17-July-2018,36390.99,36549.55,36261.78,36519.96,
18-July-2018,36722.41,36747.87,36320.92,36373.44,
19-July-2018,36509.08,36515.58,36279.33,36351.23,
20-July-2018,36377.03,36567.34,36335.61,36496.37,
23-July-2018,36501.05,36749.69,36491.83,36718.60,
24-July-2018,36859.39,36902.06,36709.72,36825.10,
25-July-2018,36928.06,36947.18,36803.15,36858.23,
26-July-2018,36928.38,37061.62,36852.53,36984.64,
27-July-2018,37253.86,37368.62,37134.88,37336.85,
30-July-2018,37491.39,37533.50,37292.45,37494.40,
31-July-2018,37534.95,37644.59,37298.75,37606.58,
1-August-2018,37643.87,37711.87,37432.91,37521.62,
2-August-2018,37529.69,37529.69,37128.99,37165.16,
3-August-2018,37327.16,37582.27,37319.61,37556.16,
6-August-2018,37714.70,37805.25,37643.29,37691.89,
7-August-2018,37849.21,37876.87,37586.88,37665.80,
8-August-2018,37756.24,37931.42,37641.40,37887.56,
9-August-2018,37994.51,38076.23,37939.28,38024.37,
10-August-2018,38050.07,38051.45,37815.75,37869.23,
13-August-2018,37693.19,37799.54,37559.26,37644.90,
14-August-2018,37749.59,37932.40,37689.71,37852.00,
16-August-2018,37796.01,37891.92,37634.13,37663.56,
17-August-2018,37898.60,38022.32,37840.16,37947.88,
20-August-2018,38075.07,38340.69,38050.69,38278.75,
21-August-2018,38360.32,38402.96,38213.87,38285.75,
23-August-2018,38416.65,38487.63,38227.36,38336.76,
24-August-2018,38366.79,38429.50,38172.77,38251.80,
27-August-2018,38472.03,38736.88,38416.73,38694.11,
28-August-2018,38814.76,38938.91,38760.58,38896.63,
29-August-2018,38989.65,38989.65,38679.57,38722.93,
30-August-2018,38796.98,38819.06,38581.83,38690.10,
31-August-2018,38704.84,38838.45,38562.21,38645.07,
3-September-2018,38915.91,38934.35,38270.01,38312.52,
4-September-2018,38460.96,38518.56,38098.60,38157.92,
5-September-2018,38192.95,38250.61,37774.42,38018.31,
6-September-2018,38161.85,38320.96,37912.50,38242.81,
7-September-2018,38314.55,38421.56,38067.22,38389.82,
10-September-2018,38348.39,38354.52,37882.83,37922.17,
11-September-2018,38017.49,38043.27,37361.20,37413.13,
12-September-2018,37546.42,37752.58,37342.00,37717.96,
14-September-2018,37939.29,38125.62,37859.52,38090.64,
17-September-2018,38027.81,38027.81,37548.93,37585.51,
18-September-2018,37660.19,37745.44,37242.85,37290.67,
19-September-2018,37432.93,37530.63,37062.69,37121.22,
21-September-2018,37278.89,37489.24,35993.64,36841.60,
24-September-2018,36924.72,36945.50,36216.95,36305.02,
25-September-2018,36350.25,36705.79,36064.10,36652.06,
26-September-2018,36936.64,36938.74,36357.93,36542.27,
27-September-2018,36691.93,36711.62,36238.23,36324.17,
28-September-2018,36452.74,36551.86,35985.63,36227.14,
1-October-2018,36274.25,36616.64,35960.65,36526.14,
3-October-2018,36602.85,36602.85,35911.82,35975.63,
4-October-2018,35820.53,35820.53,35022.12,35169.16,
5-October-2018,35097.99,35118.54,34202.22,34376.99,
8-October-2018,34412.36,34636.43,33974.66,34474.38,
9-October-2018,34651.82,34711.68,34233.50,34299.47,
10-October-2018,34493.21,34858.35,34346.50,34760.89,
11-October-2018,34063.82,34325.18,33723.53,34001.15,
12-October-2018,34291.92,34808.42,34279.78,34733.58,
15-October-2018,34971.83,35008.65,34559.98,34865.10,
16-October-2018,35004.33,35215.79,34913.06,35162.48,
17-October-2018,35543.38,35605.43,34727.16,34779.58,
19-October-2018,34563.29,34563.29,34140.32,34315.63,
22-October-2018,34689.39,34748.69,34082.76,34134.38,
23-October-2018,33935.88,34073.92,33742.75,33847.23,
24-October-2018,34203.70,34300.97,33726.07,34033.96,
25-October-2018,33778.60,33838.76,33553.18,33690.09,
26-October-2018,33776.80,33776.80,33291.58,33349.31,
